DIALS 1.dev.75-g8c1986a
The following parameters have been modified:

spotfinder {
  mp {
    nproc = 4
  }
}
input {
  datablock = datablock.json
}

Setting spotfinder.filter.min_spot_size=3
Configuring spot finder from input parameters
--------------------------------------------------------------------------------
Finding strong spots in imageset 0
--------------------------------------------------------------------------------


Finding spots in image 1 to 540...
Extracting strong pixels from images
 Using multiprocessing with 4 parallel job(s)

Found 1803 strong pixels on image 188
Found 1847 strong pixels on image 189
Found 1815 strong pixels on image 190
Found 1804 strong pixels on image 191
Found 1798 strong pixels on image 192
Found 1778 strong pixels on image 193
Found 1855 strong pixels on image 194
Found 1753 strong pixels on image 195
Found 1863 strong pixels on image 196
Found 1847 strong pixels on image 197
Found 1852 strong pixels on image 198
Found 1748 strong pixels on image 199
Found 1769 strong pixels on image 200
Found 1762 strong pixels on image 201
Found 1845 strong pixels on image 202
Found 1888 strong pixels on image 203
Found 1834 strong pixels on image 204
Found 1808 strong pixels on image 205
Found 1825 strong pixels on image 206
Found 1931 strong pixels on image 207
Found 1791 strong pixels on image 208
Found 1812 strong pixels on image 209
Found 1772 strong pixels on image 210
Found 1761 strong pixels on image 211
Found 1799 strong pixels on image 212
Found 1837 strong pixels on image 213
Found 1845 strong pixels on image 214
Found 1804 strong pixels on image 215
Found 1784 strong pixels on image 216
Found 1741 strong pixels on image 217
Found 1780 strong pixels on image 218
Found 1705 strong pixels on image 219
Found 1838 strong pixels on image 220
Found 1778 strong pixels on image 221
Found 1773 strong pixels on image 222
Found 1758 strong pixels on image 223
Found 1800 strong pixels on image 224
Found 1877 strong pixels on image 225
Found 1796 strong pixels on image 226
Found 1867 strong pixels on image 227
Found 1888 strong pixels on image 228
Found 1813 strong pixels on image 229
Found 1682 strong pixels on image 230
Found 1761 strong pixels on image 231
Found 1729 strong pixels on image 232
Found 1698 strong pixels on image 233
Found 1657 strong pixels on image 234
Found 1583 strong pixels on image 235
Found 1747 strong pixels on image 236
Found 1752 strong pixels on image 237
Found 1816 strong pixels on image 238
Found 1733 strong pixels on image 239
Found 1765 strong pixels on image 240
Found 1764 strong pixels on image 241
Found 1784 strong pixels on image 242
Found 1714 strong pixels on image 243
Found 1866 strong pixels on image 244
Found 1739 strong pixels on image 245
Found 1770 strong pixels on image 246
Found 1782 strong pixels on image 247
Found 1888 strong pixels on image 248
Found 1793 strong pixels on image 249
Found 1760 strong pixels on image 250
Found 1670 strong pixels on image 251
Found 1697 strong pixels on image 252
Found 1769 strong pixels on image 253
Found 1829 strong pixels on image 254
Found 1811 strong pixels on image 255
Found 1748 strong pixels on image 256
Found 1716 strong pixels on image 257
Found 1617 strong pixels on image 258
Found 1622 strong pixels on image 259
Found 1721 strong pixels on image 260
Found 1812 strong pixels on image 261
Found 1831 strong pixels on image 262
Found 1830 strong pixels on image 263
Found 1719 strong pixels on image 264
Found 1719 strong pixels on image 265
Found 1642 strong pixels on image 266
Found 1707 strong pixels on image 267
Found 1751 strong pixels on image 268
Found 1701 strong pixels on image 269
Found 1698 strong pixels on image 270
Found 1599 strong pixels on image 271
Found 1608 strong pixels on image 272
Found 1640 strong pixels on image 273
Found 1715 strong pixels on image 274
Found 1841 strong pixels on image 275
Found 1942 strong pixels on image 276
Found 1828 strong pixels on image 277
Found 1736 strong pixels on image 278
Found 1697 strong pixels on image 279
Found 1684 strong pixels on image 280
Found 1766 strong pixels on image 281
Found 1778 strong pixels on image 282
Found 1716 strong pixels on image 283
Found 1812 strong pixels on image 284
Found 1738 strong pixels on image 285
Found 1831 strong pixels on image 286
Found 1846 strong pixels on image 287
Found 1740 strong pixels on image 288
Found 1709 strong pixels on image 289
Found 1781 strong pixels on image 290
Found 1698 strong pixels on image 291
Found 1681 strong pixels on image 292
Found 1757 strong pixels on image 293
Found 1642 strong pixels on image 294
Found 1783 strong pixels on image 295
Found 1764 strong pixels on image 296
Found 1681 strong pixels on image 297
Found 1604 strong pixels on image 298
Found 1696 strong pixels on image 299
Found 1888 strong pixels on image 300
Found 1858 strong pixels on image 301
Found 1805 strong pixels on image 302
Found 1736 strong pixels on image 303
Found 1721 strong pixels on image 304
Found 1752 strong pixels on image 305
Found 1644 strong pixels on image 306
Found 1757 strong pixels on image 307
Found 1777 strong pixels on image 308
Found 1710 strong pixels on image 309
Found 1594 strong pixels on image 310
Found 1665 strong pixels on image 311
Found 1648 strong pixels on image 312
Found 1691 strong pixels on image 313
Found 1752 strong pixels on image 314
Found 1695 strong pixels on image 315
Found 1666 strong pixels on image 316
Found 1608 strong pixels on image 317
Found 1726 strong pixels on image 318
Found 1763 strong pixels on image 319
Found 1722 strong pixels on image 320
Found 1656 strong pixels on image 321
Found 1721 strong pixels on image 322
Found 1702 strong pixels on image 323
Found 1631 strong pixels on image 324
Found 1801 strong pixels on image 325
Found 1785 strong pixels on image 326
Found 1649 strong pixels on image 327
Found 1671 strong pixels on image 328
Found 1750 strong pixels on image 329
Found 1607 strong pixels on image 330
Found 1692 strong pixels on image 331
Found 1643 strong pixels on image 332
Found 1606 strong pixels on image 333
Found 1627 strong pixels on image 334
